batsman,runs,balls,outs,fours,sixes,strike_rate,average,innings,dob,batting_hand,bowling_skill,country
L Balaji,36,49,8.0,2,1,73.46938775510205,4.5,13,1981-09-27,Right_Hand,Right-arm medium-fast,India
L Livingstone,72,48,3.0,6,5,150.0,24.0,4,,Right_hand,Right-arm offbreak,
L Plunkett,1,3,1.0,0,0,33.33333333333333,1.0,2,,Right_hand,Right-arm fast,
L Ronchi,34,34,5.0,6,1,100.0,6.8,5,1981-04-23,Right_Hand,Right-arm fast,Australia
LA Carseldine,81,66,4.0,11,0,122.72727272727273,20.25,5,1975-11-17,Left_Hand,Legbreak,Australia
LA Pomersbach,302,243,11.0,25,13,124.27983539094649,27.454545454545453,16,1984-09-28,Left_Hand,Right-arm medium,Australia
LH Ferguson,1,1,0.0,0,0,100.0,,1,,Right_Hand,Right-arm fast-medium,
LJ Wright,106,59,5.0,16,3,179.66101694915255,21.2,5,1985-03-07,Right_Hand,Right-arm medium-fast,England
LMP Simmons,1079,848,27.0,109,44,127.24056603773586,39.96296296296296,29,1985-01-25,Right_Hand,Right-arm medium-fast,West Indies
LPC Silva,40,26,2.0,5,1,153.84615384615387,20.0,3,1979-12-14,Right_Hand,Legbreak,Sri Lanka
LR Shukla,405,350,27.0,33,16,115.71428571428572,15.0,33,1981-05-06,Right_Hand,Right-arm medium,India
LRPL Taylor,1017,818,40.0,66,46,124.3276283618582,25.425,54,1984-03-08,Right_Hand,Right-arm offbreak,New Zealand
M Ali,311,179,12.0,21,23,173.74301675977654,25.916666666666668,14,,Left_Hand,Right-arm offbreak,
M Ashwin,4,8,3.0,0,0,50.0,1.3333333333333333,5,1990-09-08,Right_Hand,Legbreak googly,India
M Kaif,259,249,18.0,22,6,104.01606425702812,14.38888888888889,22,1980-12-01,Right_Hand,Right-arm offbreak,India
M Kartik,113,107,7.0,7,1,105.60747663551402,16.142857142857142,14,1976-09-11,Left_Hand,Slow left-arm orthodox,India
M Klinger,73,75,4.0,9,0,97.33333333333334,18.25,4,1980-07-04,Right_Hand,,Australia
M Lomror,28,24,2.0,3,0,116.66666666666667,14.0,3,,Left_Hand,Slow left-arm orthodox,
M Manhas,514,470,23.0,43,10,109.36170212765957,22.347826086956523,38,1979-10-12,Right_Hand,Right-arm offbreak,India
M Markande,31,29,3.0,3,0,106.89655172413792,10.333333333333334,7,,Right_hand,Legbreak googly,
M Morkel,126,89,11.0,11,5,141.57303370786516,11.454545454545455,20,1984-10-06,Left_Hand,Right-arm fast,South Africa
M Muralitharan,20,29,6.0,1,0,68.96551724137932,3.3333333333333335,9,1972-04-17,Right_Hand,Right-arm offbreak,Sri Lanka
M Ntini,11,18,1.0,2,0,61.111111111111114,11.0,2,1977-07-06,Right_Hand,Right-arm fast,South Africa
M Rawat,55,69,5.0,4,1,79.71014492753623,11.0,11,1985-10-25,Right_Hand,,India
M Santner,35,22,1.0,0,3,159.0909090909091,35.0,2,,Left_Hand,Slow left-arm orthodox,
M Ur Rahman,12,11,2.0,2,0,109.09090909090908,6.0,4,,Right_hand,Right-arm offbreak,
M Vijay,2590,2104,98.0,243,91,123.09885931558935,26.428571428571427,102,1984-04-01,Right_Hand,Right-arm offbreak,India
M Vohra,1016,767,43.0,97,39,132.46414602346806,23.627906976744185,45,1993-07-18,Right_Hand,Right-arm medium,India
M Wood,3,3,1.0,0,0,100.0,3.0,1,,Right_hand,Right-arm fast,
M de Lange,1,2,1.0,0,0,50.0,1.0,1,1990-10-13,Right_Hand,Right-arm fast,South Africa
MA Agarwal,1276,983,69.0,117,52,129.8067141403866,18.492753623188406,72,1991-02-16,Right_Hand,,India
MA Khote,24,22,2.0,2,1,109.09090909090908,12.0,3,1980-04-22,Right_Hand,Right-arm medium,India
MA Starc,96,98,7.0,10,0,97.95918367346938,13.714285714285714,11,1990-01-30,Left_Hand,Left-arm fast,Australia
MC Henriques,969,753,34.0,87,27,128.68525896414343,28.5,50,1987-02-01,Right_Hand,Right-arm fast-medium,Australia
MC Juneja,125,128,7.0,11,1,97.65625,17.857142857142858,7,1990-09-12,Right_Hand,Right-arm offbreak,India
MD Mishra,237,206,16.0,24,8,115.04854368932038,14.8125,17,1984-02-09,Right_Hand,Right-arm offbreak,India
MDKJ Perera,14,13,2.0,3,0,107.6923076923077,7.0,2,1990-08-17,Left_Hand,,Sri Lanka
MEK Hussey,1977,1610,51.0,198,52,122.79503105590062,38.76470588235294,58,1975-05-27,Left_Hand,Right-arm medium,Australia
MF Maharoof,177,123,10.0,12,9,143.90243902439025,17.7,14,1984-09-07,Right_Hand,Right-arm fast-medium,India
MG Johnson,168,163,13.0,10,7,103.06748466257669,12.923076923076923,28,1981-11-02,Left_Hand,Left-arm fast,Australia
MJ Clarke,98,94,6.0,12,0,104.25531914893618,16.333333333333332,6,1981-04-02,Right_Hand,Slow left-arm orthodox,Australia
MJ Guptill,271,196,12.0,24,15,138.26530612244898,22.583333333333332,13,1986-09-30,Right_Hand,Right-arm offbreak,New Zealand
MJ Lumb,278,191,12.0,45,6,145.5497382198953,23.166666666666668,12,1980-02-12,Left_Hand,Right-arm medium,England
MJ McClenaghan,91,69,12.0,5,7,131.8840579710145,7.583333333333333,20,1986-06-11,Left_Hand,Left-arm fast-medium,New Zealand
MK Pandey,2872,2350,97.0,253,76,122.2127659574468,29.608247422680414,119,1989-09-10,Right_Hand,Right-arm medium,India
MK Tiwary,1697,1444,59.0,156,40,117.5207756232687,28.76271186440678,83,1985-11-14,Right_Hand,Legbreak googly,India
ML Hayden,1107,799,31.0,121,44,138.54818523153943,35.70967741935484,32,1971-10-29,Left_Hand,Right-arm medium,Australia
MM Patel,39,41,6.0,5,0,95.1219512195122,6.5,12,1983-07-12,Right_Hand,Right-arm medium-fast,India
MM Sharma,124,117,15.0,9,4,105.98290598290599,8.266666666666667,25,1988-09-18,Right_Hand,Right-arm medium,India
MN Samuels,161,172,13.0,9,7,93.6046511627907,12.384615384615385,14,1981-02-05,Right_Hand,Right-arm offbreak,West Indies
MN van Wyk,167,131,3.0,19,1,127.48091603053436,55.666666666666664,5,1979-03-20,Right_Hand,Slow left-arm orthodox,South Africa
MP Stoinis,482,363,15.0,34,18,132.78236914600552,32.13333333333333,25,1989-08-16,Right_Hand,Right-arm medium,Australia
MR Marsh,225,196,12.0,9,14,114.79591836734696,18.75,14,1991-10-20,Right_Hand,Right-arm medium,Australia
MS Bisla,798,700,38.0,93,23,113.99999999999999,21.0,39,1984-12-27,Right_Hand,,India
MS Dhoni,4477,3199,105.0,297,207,139.94998437011566,42.63809523809524,170,1981-07-07,Right_Hand,Right-arm medium,India
MS Gony,99,70,10.0,6,8,141.42857142857144,9.9,15,1984-01-04,Right_Hand,Right-arm medium,India
MS Wade,22,33,3.0,0,0,66.66666666666666,7.333333333333333,3,1987-12-26,Left_Hand,Right-arm medium,Australia
MV Boucher,394,307,14.0,32,13,128.33876221498372,28.142857142857142,23,1976-12-03,Right_Hand,Right-arm medium,South Africa
Mandeep Singh,1547,1226,68.0,161,33,126.18270799347471,22.75,83,1991-12-18,Right_Hand,Right-arm medium,India
Mashrafe Mortaza,2,2,0.0,0,0,100.0,,1,1983-10-05,Right_Hand,Right-arm fast-medium,Bangladesh
Misbah-ul-Haq,117,81,7.0,10,6,144.44444444444443,16.714285714285715,8,1974-05-28,Right_Hand,Legbreak,Pakistan
Mohammad Ashraful,2,10,1.0,0,0,20.0,2.0,1,1984-07-07,Right_Hand,Right-arm offbreak,Bangladesh
Mohammad Asif,3,6,2.0,0,0,50.0,1.5,2,1982-12-20,Left_Hand,Right-arm fast-medium,Pakistan
Mohammad Hafeez,64,83,7.0,7,2,77.10843373493977,9.142857142857142,8,1980-10-17,Right_Hand,Right-arm offbreak,Pakistan
Mohammad Nabi,146,91,9.0,11,7,160.43956043956044,16.22222222222222,10,,Right_hand,Right-arm offbreak,
Mohammed Shami,54,53,9.0,5,2,101.88679245283019,6.0,16,1990-09-03,Right_Hand,Right-arm fast-medium,India
Mohammed Siraj,34,35,3.0,2,1,97.14285714285714,11.333333333333334,6,,Right_hand,Right-arm fast,
Mustafizur Rahman,1,3,1.0,0,0,33.33333333333333,1.0,1,1995-09-06,Left_Hand,Left-arm fast-medium,Bangladesh
N Naik,8,16,1.0,1,0,50.0,8.0,1,,Right_hand,,
N Pooran,177,107,6.0,11,14,165.42056074766356,29.5,6,,Left_Hand,,
N Rana,1104,806,38.0,85,60,136.9727047146402,29.05263157894737,41,1993-12-27,Left_Hand,Right-arm offbreak,India
N Saini,143,144,11.0,16,0,99.30555555555556,13.0,12,1988-10-28,Right_Hand,Right-arm fast,India
ND Doshi,0,13,1.0,0,0,0.0,0.0,1,1978-10-06,Right_Hand,Slow left-arm orthodox,India
NJ Maddinson,20,21,3.0,4,0,95.23809523809523,6.666666666666667,3,1991-12-21,Left_Hand,Slow left-arm orthodox,Australia
NJ Rimmington,1,1,0.0,0,0,100.0,,1,1982-11-11,Right_Hand,Right-arm fast-medium,Australia
NL McCullum,26,22,1.0,0,1,118.18181818181819,26.0,2,1980-09-01,Right_Hand,Right-arm offbreak,New Zealand
NLTC Perera,424,306,22.0,23,26,138.56209150326796,19.272727272727273,30,1989-04-03,Left_Hand,Right-arm medium-fast,Sri Lanka
NM Coulter-Nile,52,50,8.0,3,4,104.0,6.5,11,1987-10-11,Right_Hand,Right-arm fast,Australia
NS Naik,23,31,2.0,1,0,74.19354838709677,11.5,2,1994-11-09,Right_Hand,,India
NV Ojha,1555,1308,75.0,121,79,118.88379204892968,20.733333333333334,94,1983-07-20,Right_Hand,,India
Niraj Patel,121,119,4.0,14,1,101.68067226890756,30.25,6,,Left_Hand,,
OA Shah,506,388,15.0,34,23,130.41237113402062,33.733333333333334,22,1978-10-22,Right_Hand,Right-arm offbreak,England
P Awana,5,14,2.0,0,0,35.714285714285715,2.5,5,1986-07-19,Right_Hand,Right-arm medium,India
P Chopra,8,6,1.0,2,0,133.33333333333331,8.0,1,,Right_hand,,
P Dogra,127,138,11.0,4,5,92.02898550724638,11.545454545454545,12,1984-11-19,Right_Hand,Legbreak,India
P Krishna,1,7,1.0,0,0,14.285714285714285,1.0,2,,Right_hand,Right-arm fast,
P Kumar,340,312,38.0,22,17,108.97435897435896,8.947368421052632,57,1986-10-02,Right_Hand,Right-arm medium,India
P Negi,366,288,26.0,27,16,127.08333333333333,14.076923076923077,35,1993-01-06,Left_Hand,Slow left-arm orthodox,India
P Parameswaran,1,2,0.0,0,0,50.0,,2,1985-05-30,Right_Hand,Left-arm medium,India
P R Barman,20,24,1.0,2,0,83.33333333333334,20.0,1,,Right_hand,Legbreak,
P Raj,0,1,0.0,0,0,0.0,,1,,Right_Hand,Left-arm medium,
P Sahu,19,13,1.0,1,1,146.15384615384613,19.0,2,1985-08-21,Right_Hand,Legbreak googly,India
P Shaw,616,423,25.0,73,19,145.62647754137117,24.64,25,,Right_hand,,
PA Patel,2874,2352,126.0,366,49,122.1938775510204,22.80952380952381,136,1985-03-09,Left_Hand,,India
PA Reddy,164,160,10.0,15,2,102.49999999999999,16.4,10,1991-02-11,Right_Hand,Legbreak,India
PC Valthaty,505,414,22.0,61,20,121.98067632850243,22.954545454545453,23,1983-12-07,Right_Hand,Right-arm medium,India
PD Collingwood,203,156,5.0,9,13,130.12820512820514,40.6,7,1976-05-26,Right_Hand,Right-arm medium,England
PJ Cummins,77,55,6.0,5,4,140.0,12.833333333333334,9,1993-05-08,Right_Hand,Right-arm fast,Australia
PJ Sangwan,25,39,7.0,1,0,64.1025641025641,3.5714285714285716,13,1990-11-05,Right_Hand,Left-arm medium,India
PM Sarvesh Kumar,1,2,0.0,0,0,50.0,,1,1989-04-26,Right_Hand,Right-arm medium,India
PP Chawla,587,522,49.0,54,18,112.45210727969348,11.979591836734693,75,1988-12-24,Left_Hand,Legbreak,India
PP Ojha,16,44,12.0,0,0,36.36363636363637,1.3333333333333333,19,1986-09-05,Left_Hand,Slow left-arm orthodox,India
PR Shah,92,90,8.0,9,2,102.22222222222221,11.5,9,1987-11-03,Right_Hand,,India
PSP Handscomb,6,12,1.0,0,0,50.0,6.0,1,1991-04-26,Right_Hand,,Australia
PV Tambe,18,38,2.0,1,0,47.368421052631575,9.0,6,1971-10-08,Right_Hand,Legbreak,India
Pankaj Singh,7,12,2.0,0,0,58.333333333333336,3.5,5,1985-05-06,Right_Hand,Right-arm medium-fast,India
Parvez Rasool,17,20,2.0,1,0,85.0,8.5,4,1989-02-13,Right_Hand,Right-arm offbreak,India
Q de Kock,1489,1108,48.0,156,54,134.38628158844764,31.020833333333332,50,1992-12-17,Left_Hand,,South Africa
R Ashwin,382,339,35.0,32,10,112.68436578171091,10.914285714285715,50,1986-09-17,Right_Hand,Right-arm offbreak,India
R Bhatia,342,284,30.0,24,13,120.4225352112676,11.4,47,1979-10-22,Right_Hand,Right-arm medium-fast,India
R Bhui,8,17,2.0,0,0,47.05882352941176,4.0,2,,Right_hand,,
R Bishnoi,19,17,3.0,1,2,111.76470588235294,6.333333333333333,3,1987-10-08,Right_Hand,Right-arm medium-fast,India
R Dhawan,153,135,7.0,13,4,113.33333333333333,21.857142857142858,16,1990-02-19,Right_Hand,Right-arm medium-fast,India
R Dravid,2174,1878,77.0,269,28,115.76144834930777,28.233766233766232,82,1973-01-11,Right_Hand,Right-arm offbreak,India
R McLaren,159,171,8.0,14,1,92.98245614035088,19.875,13,1983-02-09,Left_Hand,Right-arm medium-fast,South Africa
R Ninan,3,5,1.0,0,0,60.0,3.0,1,1985-11-19,Right_Hand,Right-arm offbreak,India
R Parag,169,126,5.0,17,5,134.12698412698413,33.8,5,,Right_hand,Legbreak,
R Rampaul,51,49,5.0,3,2,104.08163265306123,10.2,7,1984-10-15,Left_Hand,Right-arm fast-medium,West Indies
R Salam,5,4,0.0,0,0,125.0,,1,,Right_Hand,Right-arm Fast,
R Sathish,270,230,17.0,22,6,117.3913043478261,15.882352941176471,24,1981-01-14,Right_Hand,Right-arm medium,India
R Sharma,66,75,14.0,5,3,88.0,4.714285714285714,19,1987-04-30,Right_Hand,Right-arm offbreak,India
R Shukla,19,23,1.0,2,0,82.6086956521739,19.0,4,1990-08-28,Right_Hand,Right-arm medium,India
R Singh,73,65,6.0,5,2,112.3076923076923,12.166666666666666,7,,Right_hand,,
R Tewatia,119,89,6.0,11,3,133.7078651685393,19.833333333333332,12,1993-05-20,Left_Hand,Legbreak,India
R Vinay Kumar,311,274,28.0,21,9,113.5036496350365,11.107142857142858,42,1984-02-12,Right_Hand,Right-arm medium,India
RA Jadeja,1951,1561,80.0,137,65,124.98398462524023,24.3875,125,1988-12-06,Left_Hand,Slow left-arm orthodox,India
RA Tripathi,771,551,29.0,73,27,139.92740471869328,26.586206896551722,33,,Right_hand,Right-arm medium,
RD Chahar,15,13,2.0,2,0,115.38461538461537,7.5,5,,Right_hand,Legbreak googly,
RE Levi,83,73,6.0,10,4,113.69863013698631,13.833333333333334,6,1988-01-14,Right_Hand,Right-arm medium,South Africa
RE van der Merwe,159,141,11.0,11,8,112.7659574468085,14.454545454545455,15,1984-12-31,Right_Hand,Slow left-arm orthodox,South Africa
RG More,2,2,0.0,0,0,100.0,,1,1992-02-02,Right_Hand,Right-arm medium,India
RG Sharma,4914,3731,155.0,431,194,131.70731707317074,31.703225806451613,182,1987-04-30,Right_Hand,Right-arm offbreak,India
RJ Harris,117,111,12.0,6,3,105.40540540540539,9.75,21,1979-10-11,Right_Hand,Right-arm fast,Australia
RJ Peterson,32,30,3.0,3,1,106.66666666666667,10.666666666666666,5,1979-08-04,Left_Hand,Slow left-arm orthodox,South Africa
RJ Quiney,103,102,7.0,12,3,100.98039215686273,14.714285714285714,7,1982-08-20,Left_Hand,Right-arm medium,Australia
RN ten Doeschate,326,235,14.0,26,15,138.72340425531914,23.285714285714285,21,1980-06-30,Right_Hand,Right-arm medium-fast,Netherlands
RP Singh,52,76,15.0,2,1,68.42105263157895,3.466666666666667,28,1985-12-06,Right_Hand,Left-arm fast-medium,India
RR Bhatkal,0,2,1.0,0,0,0.0,0.0,1,1985-09-01,Right_Hand,Right-arm medium,India
RR Pant,1792,1068,48.0,154,94,167.79026217228466,37.333333333333336,54,1997-10-04,Left_Hand,,India
RR Powar,67,64,3.0,6,1,104.6875,22.333333333333332,9,1978-05-20,Right_Hand,Right-arm offbreak,India
RR Raje,20,18,1.0,1,1,111.11111111111111,20.0,5,1986-09-03,Right_Hand,Right-arm fast-medium,India
RR Rossouw,53,51,5.0,3,3,103.921568627451,10.6,5,1989-10-09,Left_Hand,Right-arm offbreak,South Africa
RR Sarwan,73,75,4.0,6,1,97.33333333333334,18.25,4,1980-06-23,Right_Hand,Legbreak,West Indies
RS Bopara,531,453,18.0,39,16,117.21854304635761,29.5,22,1985-05-04,Right_Hand,Right-arm medium,England
RS Gavaskar,2,8,1.0,0,0,25.0,2.0,1,1976-02-20,Left_Hand,Slow left-arm orthodox,India
RS Sodhi,4,2,0.0,1,0,200.0,,1,1980-10-18,Right_Hand,Right-arm medium,India
RT Ponting,91,128,9.0,5,2,71.09375,10.11111111111111,9,1974-12-19,Right_Hand,Right-arm medium,Australia
RV Gomez,50,51,5.0,5,1,98.0392156862745,10.0,9,1985-10-16,Right_Hand,Right-arm medium,India
RV Uthappa,4446,3368,153.0,436,156,132.00712589073632,29.058823529411764,170,1985-11-11,Right_Hand,Right-arm medium,India
Rashid Khan,109,63,12.0,5,9,173.015873015873,9.083333333333334,17,,Right_hand,Legbreak googly,
S Anirudha,136,112,8.0,9,7,121.42857142857142,17.0,12,1987-04-14,Right_Hand,,India
S Aravind,59,57,4.0,7,0,103.50877192982458,14.75,10,1984-04-08,Left_Hand,Left-arm medium-fast,India
S Badree,13,23,5.0,0,0,56.52173913043478,2.6,5,1981-03-09,Right_Hand,Legbreak,West Indies
S Badrinath,1441,1208,47.0,154,28,119.28807947019868,30.659574468085108,65,1980-08-30,Right_Hand,Right-arm offbreak,India
S Chanderpaul,25,31,3.0,4,0,80.64516129032258,8.333333333333334,3,1974-08-16,Left_Hand,Legbreak,West Indies
S Curran,95,55,4.0,13,3,172.72727272727272,23.75,8,,Left_Hand,Left-arm medium-fast,
S Dhawan,4632,3659,137.0,526,96,126.59196501776442,33.81021897810219,158,1985-12-05,Left_Hand,Right-arm offbreak,India
S Dube,40,33,3.0,1,3,121.21212121212122,13.333333333333334,4,,Left_Hand,Right-arm fast-medium,
S Gill,517,376,15.0,45,15,137.5,34.46666666666667,23,,Right_hand,,
S Gopal,131,118,9.0,14,1,111.01694915254237,14.555555555555555,14,1993-09-04,Right_Hand,Legbreak,India
S Hetmyer,93,73,5.0,4,7,127.3972602739726,18.6,5,,Left_Hand,,
S Kaul,12,28,4.0,0,0,42.857142857142854,3.0,7,1990-05-19,Right_Hand,Right-arm medium,India
S Kaushik,0,1,1.0,0,0,0.0,0.0,1,1995-09-07,Right_Hand,Slow left-arm chinaman,India
S Ladda,0,9,1.0,0,0,0.0,0.0,2,1986-07-10,Right_Hand,Legbreak,India
S Lamichhane,0,1,1.0,0,0,0.0,0.0,1,,Right_hand,Legbreak googly,
S Mavi,13,15,3.0,1,0,86.66666666666667,4.333333333333333,3,,Right_hand,Right-arm fast-medium,
S Nadeem,32,78,12.0,1,0,41.02564102564102,2.6666666666666665,17,1989-08-12,Right_Hand,Slow left-arm orthodox,India
S Narwal,37,27,3.0,6,0,137.03703703703704,12.333333333333334,4,1982-04-16,Left_Hand,Right-arm medium,India
S Rana,91,79,4.0,9,1,115.18987341772151,22.75,8,1984-09-18,Right_Hand,Right-arm medium-fast,India
S Randiv,2,4,1.0,0,0,50.0,2.0,1,1985-01-30,Right_Hand,Right-arm offbreak,Sri Lanka
S Rutherford,82,54,5.0,4,7,151.85185185185185,16.4,7,,Left_Hand,Right-arm fast-medium,
S Sharma,8,3,0.0,1,0,266.66666666666663,,2,,Right_Hand,Right-arm fast-medium,
S Singh,17,17,1.0,1,1,100.0,17.0,1,,Right_hand,,
S Sohal,368,289,20.0,34,18,127.33564013840831,18.4,20,1987-11-10,Right_Hand,Legbreak,India
S Sreesanth,34,55,4.0,6,0,61.81818181818181,8.5,12,1983-02-06,Right_Hand,Right-arm fast-medium,India
S Sriram,31,36,2.0,3,0,86.11111111111111,15.5,2,1976-02-21,Left_Hand,Slow left-arm orthodox,India
S Tyagi,3,4,1.0,0,0,75.0,3.0,1,1987-09-17,Right_Hand,Right-arm medium,India
S Vidyut,145,109,8.0,21,3,133.0275229357798,18.125,8,1981-12-03,Left_Hand,Slow left-arm orthodox,India
SA Abbott,15,13,2.0,1,1,115.38461538461537,7.5,2,1992-02-29,Right_Hand,Right-arm fast-medium,New Zealand
SA Asnodkar,423,337,20.0,56,10,125.51928783382789,21.15,19,1984-03-29,Right_Hand,Right-arm offbreak,India
SA Yadav,608,461,29.0,54,21,131.88720173535793,20.96551724137931,42,1990-09-14,Right_Hand,Right-arm offbreak,India
SB Bangar,49,58,7.0,1,3,84.48275862068965,7.0,7,1972-10-11,Right_Hand,Right-arm medium-fast,India
SB Jakati,28,29,1.0,3,0,96.55172413793103,28.0,5,1980-11-27,Left_Hand,Slow left-arm orthodox,India
SB Joshi,6,14,2.0,0,0,42.857142857142854,3.0,2,1970-06-06,Left_Hand,Slow left-arm orthodox,India
SB Styris,131,132,7.0,10,3,99.24242424242425,18.714285714285715,10,1975-07-10,Right_Hand,Right-arm medium,New Zealand
SB Wagh,2,3,2.0,0,0,66.66666666666666,1.0,2,1988-10-09,Left_Hand,Left-arm medium-fast,India
SC Ganguly,1349,1257,53.0,137,42,107.31901352426412,25.452830188679247,56,1972-07-08,Left_Hand,Right-arm medium,India
SD Chitnis,99,88,7.0,10,2,112.5,14.142857142857142,8,1987-05-06,Right_Hand,Right-arm offbreak,India
SD Lad,15,13,1.0,1,1,115.38461538461537,15.0,1,,Right_hand,,
SE Bond,1,2,1.0,0,0,50.0,1.0,1,1975-06-07,Right_Hand,Right-arm fast,New Zealand
SE Marsh,2489,1866,63.0,269,78,133.38692390139335,39.507936507936506,69,1983-07-09,Left_Hand,Slow left-arm orthodox,Australia
SJ Srivastava,5,5,1.0,0,0,100.0,5.0,4,1981-09-22,Right_Hand,Left-arm fast-medium,India
SK Raina,5415,3898,162.0,495,195,138.91739353514623,33.425925925925924,189,1986-11-27,Left_Hand,Right-arm offbreak,India
SK Trivedi,42,58,7.0,3,1,72.41379310344827,6.0,14,1982-09-04,Right_Hand,Right-arm medium,India
SK Warne,198,213,20.0,14,6,92.95774647887323,9.9,27,1969-09-13,Right_Hand,Legbreak googly,Australia
SL Malinga,88,99,16.0,6,5,88.88888888888889,5.5,20,1983-08-28,Right_Hand,Right-arm fast,Sri Lanka
SM Harwood,9,13,0.0,0,0,69.23076923076923,,2,1974-03-01,Right_Hand,Right-arm fast-medium,Australia
SM Katich,241,185,10.0,26,8,130.27027027027026,24.1,11,1975-08-21,Left_Hand,Slow left-arm chinaman,Australia
SM Pollock,147,111,8.0,12,8,132.43243243243242,18.375,8,1973-07-16,Right_Hand,Right-arm fast-medium,South Africa
SMSM Senanayake,10,16,1.0,0,0,62.5,10.0,4,1985-02-09,Right_Hand,Right-arm offbreak,Sri Lanka
SN Khan,416,283,15.0,44,11,146.9964664310954,27.733333333333334,22,1997-10-27,Right_Hand,Legbreak,India
SN Thakur,36,21,5.0,5,1,171.42857142857142,7.2,7,1991-10-16,Right_Hand,Right-arm medium,India
SP Fleming,196,162,9.0,27,3,120.98765432098766,21.77777777777778,10,1973-04-01,Left_Hand,,New Zealand
SP Goswami,301,289,18.0,33,3,104.1522491349481,16.72222222222222,19,1989-05-18,Left_Hand,,India
SP Jackson,38,31,2.0,5,0,122.58064516129032,19.0,3,,Right_hand,,
SP Narine,803,457,44.0,94,44,175.71115973741794,18.25,54,1988-05-26,Left_Hand,Right-arm offbreak,West Indies
SPD Smith,2047,1561,54.0,181,49,131.13388853299168,37.907407407407405,72,1989-06-02,Right_Hand,Legbreak googly,India
SR Tendulkar,2334,1941,69.0,296,29,120.24729520865533,33.82608695652174,78,1973-04-24,Right_Hand,Right-arm offbreak,India
SR Watson,3614,2556,115.0,344,177,141.3928012519562,31.42608695652174,130,1981-06-17,Right_Hand,Right-arm fast-medium,Australia
SS Iyer,1714,1321,55.0,150,67,129.75018925056776,31.163636363636364,61,1994-12-06,Right_Hand,Legbreak googly,India
SS Shaikh,6,7,1.0,1,0,85.71428571428571,6.0,1,1987-01-18,Right_Hand,Right-arm medium,India
SS Tiwary,1276,1058,45.0,93,45,120.60491493383742,28.355555555555554,64,1989-12-30,Left_Hand,,India
ST Jayasuriya,768,529,28.0,84,39,145.179584120983,27.428571428571427,30,1969-06-30,Left_Hand,Slow left-arm orthodox,Sri Lanka
STR Binny,882,682,46.0,66,35,129.32551319648093,19.17391304347826,66,1984-06-03,Right_Hand,Right-arm medium,India
SV Samson,2235,1692,80.0,171,89,132.0921985815603,27.9375,88,1994-11-11,Right_Hand,,India
SW Billings,338,248,19.0,31,10,136.29032258064515,17.789473684210527,19,1991-06-15,Right_Hand,,England
SW Tait,23,26,3.0,1,1,88.46153846153845,7.666666666666667,5,1983-02-22,Right_Hand,Right-arm fast,Australia
Sachin Baby,137,99,8.0,11,5,138.3838383838384,17.125,10,1988-12-18,Left_Hand,Right-arm offbreak,India
Salman Butt,193,160,7.0,30,2,120.625,27.571428571428573,7,1984-10-07,Left_Hand,Right-arm offbreak,Pakistan
Sandeep Sharma,26,38,3.0,1,0,68.42105263157895,8.666666666666666,14,1993-05-18,Right_Hand,Right-arm medium,India
Shahid Afridi,81,46,8.0,7,6,176.08695652173913,10.125,9,1980-03-01,Right_Hand,Legbreak googly,Pakistan
Shakib Al Hasan,759,587,36.0,69,20,129.3015332197615,21.083333333333332,46,1987-03-24,Left_Hand,Slow left-arm orthodox,Bangladesh
Shivam Sharma,5,3,1.0,1,0,166.66666666666669,5.0,2,1993-09-09,Right_Hand,Right-arm offbreak,India
Shoaib Ahmed,1,6,2.0,0,0,16.666666666666664,0.5,3,1990-08-17,Right_Hand,Right-arm fast-medium,Pakistan
Shoaib Akhtar,2,7,1.0,0,0,28.57142857142857,2.0,1,1975-08-13,Right_Hand,Right-arm fast,Pakistan
Shoaib Malik,52,46,4.0,5,0,113.04347826086956,13.0,5,1982-02-01,Right_Hand,Right-arm offbreak,Pakistan
Sohail Tanvir,36,28,3.0,3,1,128.57142857142858,12.0,5,1984-12-12,Left_Hand,Left-arm medium-fast,Pakistan
Sunny Gupta,0,1,1.0,0,0,0.0,0.0,1,1988-09-27,Right_Hand,Right-arm offbreak,India
Sunny Singh,43,31,4.0,6,1,138.70967741935485,10.75,5,1986-12-18,Right_Hand,Right-arm medium-fast,India
Swapnil Singh,12,20,3.0,0,0,60.0,4.0,3,1991-01-22,Right_Hand,Slow left-arm orthodox,India
T Curran,24,28,3.0,3,0,85.71428571428571,8.0,4,,Right_hand,Right-arm fast-medium,
T Henderson,11,15,2.0,0,1,73.33333333333333,5.5,2,1974-08-01,Right_Hand,Right-arm fast-medium,South Africa
T Kohli,11,19,3.0,0,1,57.89473684210527,3.6666666666666665,3,1988-12-17,Right_Hand,Right-arm medium,India
T Taibu,31,26,3.0,3,0,119.23076923076923,10.333333333333334,3,1983-05-14,Right_Hand,Right-arm medium,Zimbabwea
T Thushara,12,18,2.0,0,0,66.66666666666666,6.0,4,1981-03-01,Left_Hand,Left-arm fast-medium,Sri Lanka
TA Boult,12,14,2.0,0,1,85.71428571428571,6.0,4,1989-07-22,Right_Hand,Left-arm fast-medium,New Zealand
TD Paine,10,26,2.0,0,0,38.46153846153847,5.0,2,1984-12-08,Right_Hand,Right-arm medium,Australia
TG Southee,115,89,8.0,8,4,129.21348314606743,14.375,13,1988-12-11,Right_Hand,Right-arm medium-fast,New Zealand
